"","1.25","1.75","2.25","2.75","3.25","3.75","4.25","4.75","5.25","5.75","6.25","6.75","7.25","7.75","8.25","8.75","9.25","9.75","10.25","10.75","11.25","11.75","12.25","12.75","13.25","13.75","14.25","14.75","15.25","15.75","16.25","16.75","17.25","17.75","18.25","18.75"
"1",406168644.986551,1137417782.55271,1552201489.18264,1019626435.70353,1299676381.92301,1660473951.33507,1820879234.12481,1661270530.91948,1051836972.76347,1168187923.31303,504033702.390638,200844830.055119,580059136.031552,2130008721.02034,3081178490.24735,3328315117.06318,1781619189.11384,-192872351.873703,-378901124.406671,-676194550.467663,-915331536.340155,-861014250.272458,-522089238.633573,1717510360.68824,3344047539.79769,1629159766.19164,2443160950.516,3868849644.06142,3527815979.75613,5326549213.86493,6243252304.9537,6313273034.96106,5725184188.38052,5183065181.23394,1998079561.8164,14289474296.0209
"2",-401408315.543882,-279228053.934096,-257886718.970536,299251336.234685,336668280.759197,353392827.246583,721198410.831562,766871120.248892,849695709.03522,504366860.652653,539100791.40659,335620743.594238,434532415.994303,1781554959.1269,4014906977.75041,4529493975.03543,4488389690.87392,2701772892.31122,1418644132.21198,1137451735.15693,573331740.268983,86939097.7377136,1797098325.01306,1257566208.26226,930647767.707826,5816678274.72424,9405934085.12876,8795964937.91066,6123232099.32018,5975354405.60195,3778451575.02837,6331077343.63133,5907496877.13067,7283023011.72382,7062233752.86868,18119079091.5443
"3",-723012988.518943,-798652722.093237,-654929940.579467,-639003814.417433,-586177086.100626,-324845716.12311,-144460437.836323,260567183.025064,901541196.494394,1213196202.45562,1379090372.66494,930553963.827159,200258287.872665,388549690.646995,307291919.279627,186579108.397833,812429137.054246,-16685317.4485265,-37285543.928992,116226697.339517,1644174689.22346,2242844940.42425,2609214435.79519,3254299381.90919,3449449944.00643,1832521435.175,4010117901.63184,4648228131.35972,8985112481.46591,14925295663.6312,14512534268.2746,13597603476.2252,7910075731.28433,6920065633.10369,3964040695.4555,14266778564.9916
"4",-1375413818.17144,-1093637666.29734,-639085004.712311,-639292322.430667,-629460125.665566,28767867.9215298,47837205.5069094,207978050.542795,1620974180.24131,2154879203.41078,2007369854.89945,1435454552.61225,2687613839.25499,349947977.712286,2291941093.2048,36564262409.6097,38739200583.8644,40346064134.6351,45218143190.8496,25253276989.5531,30559028987.373,53764188863.9342,65513523457.854,66603400064.0591,90259008571.8793,59531320898.795,106542189932.537,164027928840.177,262783695284.09,338909109933.396,250208551654.232,167477084059.92,95923153450.5639,54774278402.7334,19415303327.5299,28688431378.3942
"5",-367168786.253827,-399153525.894699,-229207231.116389,-276367363.692433,-300711703.402506,-305367004.366062,-98375619.4496063,228467850.631682,389063818.454374,721615227.249641,870473840.215315,875999819.121134,782411060.579844,579096534.390146,535607700.630765,655726966.698832,911797363.773635,1074072912.29609,2365484935.38973,3041486784.76167,3436734724.00047,3576695475.21977,5491048325.60684,5894963130.31662,7524349024.15589,5690751995.08819,6479068234.46329,9376551840.75388,13182233582.0672,13778056346.8877,11056019946.0007,8592997680.91824,4323949527.71106,4417999825.84848,4433382041.5484,12340879993.9491
"6",-600614791.714331,-328441062.138096,-54187404.4087634,-86101823.8133702,-24448861.3248277,130391492.090546,169258213.278536,297973558.005678,466671321.494705,553585085.939737,629936792.967189,799321574.062074,753123323.418507,1631922679.04996,2588144867.89408,1788195782.32166,4537037401.04406,5096964176.22482,2223743122.53833,5984017344.80561,3180261637.61907,194613061.184174,481097997.364563,-225619216.970082,-214351614.505467,944721929.870002,1505498239.82626,1625496606.78222,3140934840.00276,3242946419.1204,5020131257.21973,4953213085.83652,1525583493.90851,2200874437.8635,1760014013.99957,16875797265.7077
"7",-790261569.11286,-904004581.268887,-476724295.418308,-777876312.082384,-271911268.867621,1694764433.70975,1808058253.54584,2101833719.89326,2522336425.5061,1811272920.36201,1576302691.96986,1146926842.78519,1774653641.87758,5150075653.31987,6301725442.94194,9627442951.52536,5678375038.45839,2645241757.01814,3392758470.96222,828716298.635873,-543738735.184228,-866286108.935729,662489051.359131,1730806499.66552,2889431019.78677,4405084106.63448,4426749089.52063,4868827004.19102,8606162429.7535,6367844782.80077,6265616085.83955,5356194586.77125,13295365560.7732,13714433821.9008,13773817788.9046,25373445297.7714
"8",-540142475.912247,-119381024.836855,-3214068.3213439,564171353.392117,850488796.276667,918654230.036358,2511321310.59091,3484721788.63712,3696773478.90318,2915902716.40747,1496217937.95029,738208912.909064,966040346.712152,3063970882.56697,6590732941.93602,7383126954.85223,8485569870.7779,4866804150.34362,3170721250.55165,2224663595.32667,2798371628.742,3317319774.80389,3194865908.38801,2862208730.89906,3097218206.39722,15066795703.2057,20664707145.1072,22553729388.11,25651512987.4746,23738418709.1358,8718506034.58841,11692422546.4001,15372582428.5756,14999902965.3969,18821712285.1176,29986399625.7381
"9",-2432040878.13555,-2469548160.86523,-1464888304.9781,-1054628939.01134,-1102059072.25853,-579547711.037535,-2115703094.07057,-2296148190.24072,-1862232870.35551,-1173354487.97339,-1018326710.0041,-590349681.797639,-134308142.699764,831970075.760841,2053202569.53523,11009362237.693,17145152170.0119,20468241957.2905,24192426095.324,15247901421.9508,11462565889.5105,19706978030.9428,21797245581.7327,21112369760.493,20061539027.3043,16178272644.6732,72850461683.9346,85976901673.6046,124549359778.378,149574651973.45,135464597935.982,105765371994.032,60552325195.6277,48707619165.5015,18967552935.328,19416330878.8981
