"","1.25","1.75","2.25","2.75","3.25","3.75","4.25","4.75","5.25","5.75","6.25","6.75","7.25","7.75","8.25","8.75","9.25","9.75","10.25","10.75","11.25","11.75","12.25","12.75","13.25","13.75","14.25","14.75","15.25","15.75","16.25","16.75","17.25","17.75","18.25","18.75"
"SOZ(10th)",1725689093.95527,7469704112.30457,9670159348.41073,9310695083.05674,6176989796.8383,4895167154.7765,8118798122.76187,13024969103.5498,15728067125.8868,9613857948.76765,7979467465.07937,1877708533.15591,2531317930.87893,-2130336581.15737,-2627301963.14604,-2693684552.6502,-3122789853.06785,-2774267007.50905,-2461019452.04862,-2299001380.47545,-3678712027.926,-1865781388.1128,-1147833846.27884,1002447584.74299,3359623831.93969,2368361402.39484,4518453441.57107,3739124628.96464,2348228758.7738,1992501051.86438,865879983.964299,-1459299444.25053,-2953027610.94905,-2922081102.80679,-4578965499.52653,-426957470.553935
"SOZ(20th)",3844600969.6887,9700725703.03133,10511702862.4005,10977435222.0765,11073109612.5022,7545601288.261,9844560308.5428,13816518921.6462,17348171956.5699,13997618705.4837,15367810877.3667,9294090401.55922,8901766077.21434,4966798384.19736,2930851617.42556,2468299519.95743,-1109106894.67631,-1685444622.22336,-1195238562.66538,-925152489.00064,-1415221078.01706,-992531707.537016,316250372.25877,3054278835.36723,4239386430.97029,4545378308.13175,6336039524.47166,10394867181.1082,5817024122.87799,5574286439.09192,3269272281.44338,250971723.823886,-2081643592.85942,-2227273575.26141,-3420829162.99075,1290210097.75282
"SOZ(30th)",7953026380.64356,10354348295.1894,12221330225.4416,11559706220.9059,15243833067.4346,14320876303.8765,14386051471.0473,14286504653.3307,18047917288.9809,17906636976.3985,18865823863.8022,11838946943.5993,10752978279.4561,7750611578.99582,5295631296.93697,4175648901.35319,-547864362.141514,-577424778.174708,-959742255.57953,-573867697.863109,-687366056.008297,-280520993.594541,1025378090.53711,3892179316.0128,5153379912.68535,5873108237.48086,10756124426.9807,11979325895.5396,8429923792.2938,7452707460.04984,4709325191.69985,2726554307.32692,237093676.419124,-601306131.608577,-1427050610.89559,2098289153.45202
"SOZ(40th)",10102940518.5442,15354382155.5349,14754191341.1214,15878054174.8052,20747145812.6576,17181506401.4626,17148968331.0957,18735320521.2991,19162871792.1204,20273209882.6096,20956472917.7163,13506024115.0829,11356151573.2184,9094038642.19657,7446209659.93025,4566532692.55148,339171453.608216,218047517.687319,-695556216.258054,-428286578.103202,-555256166.247339,957860448.031394,1837603975.40552,5435863235.92834,8137779328.96993,7973205001.37014,14443444980.3687,12247684392.8944,12021358681.6345,9485847721.47147,6059887368.5342,3744933161.87566,1310495808.24394,449969894.261759,-583414381.08426,2682660353.54073
"SOZ(50th)",11922492268.3759,19100051064.7839,19061914265.2504,20203099386.3597,25262604870.4075,19966813448.7131,21639086024.7256,23939751577.7707,19856868285.3642,22671094802.0363,22359645584.2743,15898745936.1983,12826977256.1278,11550069580.6434,9465621917.34504,4774623405.09381,1105908197.27044,954492498.136805,-359900543.448999,-123648102.023885,-539202216.840345,2096215058.69367,2328197376.59089,6595147266.2234,18515660679.2901,14659734772.9087,21432849398.2357,15972060792.6248,14554241411.2457,11195773708.9731,7200549404.54318,4338130021.07359,1536138377.82088,926995965.302953,-472247255.189752,5360850926.14797
"SOZ(60th)",16199703922.0514,26151387630.4298,29088792593.01,27721704739.6029,31515567498.4755,23134037477.2648,25635984665.6117,29917358513.6421,35674437118.7307,31776368672.7278,27357796031.5071,18587099243.2273,16337177042.9994,16294183039.8269,12207153934.9306,5599578160.2173,1682511710.569,1703864155.33502,-93465360.4379068,232577711.233898,994755615.677115,2829573926.18002,2507287699.18624,7029640815.28183,27542423349.8514,20819220569.7246,31944082759.2291,23105120947.4576,16214179451.3367,13516058284.8881,10010014074.8952,8637783870.81282,4256576922.78095,1381512503.368,474811434.652063,10595080464.1028
"SOZ(70th)",25779237392.9061,40947308777.8815,47458067630.9374,40733079979.6869,40218973321.8118,25085229095.8308,32453523650.7293,44671389178.7035,60057490159.1993,53129778258.092,46396417454.4124,32131080224.1376,26605453684.0993,21456407334.4708,15615768434.7583,7405859484.63821,2705450147.81989,2250643101.28152,139659191.054434,627818923.387428,3449017245.76088,4580344321.14573,4282767841.79809,9505140050.65742,33056665484.164,35581747213.1034,55456886566.9427,37300940239.6208,21300031908.5677,16006768485.1822,13661188601.6964,15330458419.0717,10513876332.435,6820639941.82788,2229302313.73266,15783864150.1862
"SOZ(80th)",57067421660.915,79864912362.0628,92185223106.5799,76159945091.9125,61252850350.4886,28582033209.7867,49883403544.7493,67815518450.6112,68829353826.3724,86560918620.1597,82910032332.0195,62755301350.4651,45571496556.8147,25030196125.0707,19021514512.7498,9361089875.13916,4727346323.85265,2847237172.61891,677582039.933635,1371512322.87777,5078786365.18139,7844872342.52234,8519168741.96269,23617610277.164,67028338255.8577,152490768257.088,146399766776.877,133376037837.022,45075196036.8125,38978132696.6498,32883263186.5411,28955081711.9516,21828235763.863,20164738331.6157,5124724569.35697,37495648256.1764
"SOZ(90th)",152664537566.991,217587445493.064,223001194749.433,202650969028.644,138997411810.922,35021888221.9594,59411705481.0271,74233218829.4412,98134322841.2599,129166779666.666,119313059669.823,81550656500.9712,62439168589.7922,33895032671.761,26963572516.7496,11001735685.0099,8460905722.52621,3558659411.67558,1464557137.10096,1678713648.59306,10823156049.9605,12162550654.8843,14830686548.9168,66712731430.1307,220586588729.577,516700482857.652,417378142091.412,494286370496.268,155664073019.373,145507232733.516,107871187080.508,73993535777.7857,45350220932.5979,26295674520.326,13099291317.9664,123576344096.374
